Species,Longitude,Latitude
Caiman_yacare,-67.751524,-11.6919624
Caiman_yacare,-68.351524,-13.7502957
Caiman_yacare,-68.001524,-11.2752957
Caiman_yacare,-64.826524,-12.033629
Caiman_yacare,-64.8348574,-12.0752957
Caiman_yacare,-64.8931907,-12.083629
Caiman_yacare,-64.801524,-12.0919624
Caiman_yacare,-64.8431907,-12.108629
Caiman_yacare,-64.8098574,-12.1252957
Caiman_yacare,-64.5098574,-12.333629
Caiman_yacare,-65.4598574,-12.408629
Caiman_yacare,-65.5348573,-12.558629
Caiman_yacare,-64.276524,-12.5419624
Caiman_yacare,-64.226524,-12.5669624
Caiman_yacare,-63.4098574,-12.6919624
Caiman_yacare,-64.776524,-12.7169624
Caiman_yacare,-64.7431907,-12.7252957
Caiman_yacare,-63.4348574,-12.7252957
Caiman_yacare,-64.7848574,-12.7502957
Caiman_yacare,-62.801524,-12.9919624
Caiman_yacare,-63.8098574,-13.008629
Caiman_yacare,-62.7681907,-13.0502957
Caiman_yacare,-62.9681907,-13.083629
Caiman_yacare,-62.9348574,-13.083629
Caiman_yacare,-62.9681907,-13.1252957
Caiman_yacare,-62.9348574,-13.1252957
Caiman_yacare,-63.726524,-13.1669624
Caiman_yacare,-63.7348574,-13.2002957
Caiman_yacare,-62.976524,-13.158629
Caiman_yacare,-62.9431907,-13.158629
Caiman_yacare,-63.6931907,-13.2752957
Caiman_yacare,-63.6598574,-13.283629
Caiman_yacare,-63.5931907,-13.2919624
Caiman_yacare,-63.5348574,-13.2919624
Caiman_yacare,-63.626524,-13.3002957
Caiman_yacare,-63.4931907,-13.3169624
Caiman_yacare,-63.526524,-13.3252957
Caiman_yacare,-63.5681907,-13.333629
Caiman_yacare,-68.3181907,-13.6919624
Caiman_yacare,-68.0598573,-13.7919624
Caiman_yacare,-67.551524,-13.908629
Caiman_yacare,-67.5598573,-13.9419624
Caiman_yacare,-67.526524,-13.958629
Caiman_yacare,-67.576524,-14.0919624
Caiman_yacare,-60.3681907,-14.5502957
Caiman_yacare,-61.0681907,-15.0669624
Caiman_yacare,-64.5681907,-15.933629
Caiman_yacare,-64.4681907,-15.9669624
Caiman_yacare,-64.276524,-15.9669624
Caiman_yacare,-64.6931907,-15.9919624
Caiman_yacare,-64.2348574,-15.9919624
Caiman_yacare,-64.5098574,-16.0002957
Caiman_yacare,-64.476524,-16.0002957
Caiman_yacare,-64.276524,-16.0002957
Caiman_yacare,-64.701524,-16.0252957
Caiman_yacare,-64.6598574,-16.033629
Caiman_yacare,-64.3681907,-16.0419624
Caiman_yacare,-64.276524,-16.0419624
Caiman_yacare,-58.4431907,-16.3252957
Caiman_yacare,-58.4681907,-16.433629
Caiman_yacare,-62.476524,-16.5002957
Caiman_yacare,-64.826524,-16.6919624
Caiman_yacare,-64.801524,-16.7252957
Caiman_yacare,-60.3348574,-17.958629
Caiman_yacare,-60.0848574,-18.033629
Caiman_yacare,-66.1181907,-10.9169624
Caiman_yacare,-65.0931907,-11.908629
Caiman_yacare,-65.0431907,-11.9752957
Caiman_yacare,-65.101524,-11.9919624
Caiman_yacare,-65.151524,-12.0252957
Caiman_yacare,-65.0181907,-12.0252957
Caiman_yacare,-64.9098574,-12.0252957
Caiman_yacare,-65.076524,-12.058629
Caiman_yacare,-64.9348574,-12.0752957
Caiman_yacare,-65.551524,-12.2419624
Caiman_yacare,-65.1098574,-12.3002957
Caiman_yacare,-65.526524,-12.358629
Caiman_yacare,-65.5181907,-12.4169624
Caiman_yacare,-65.1431907,-12.3502957
Caiman_yacare,-65.151524,-12.4169624
Caiman_yacare,-63.8681907,-12.508629
Caiman_yacare,-64.1348574,-12.5669624
Caiman_yacare,-65.526524,-12.6669624
Caiman_yacare,-65.8681907,-12.733629
Caiman_yacare,-65.5348573,-12.733629
Caiman_yacare,-64.076524,-12.6419624
Caiman_yacare,-64.4348574,-12.658629
Caiman_yacare,-63.4431907,-12.6919624
Caiman_yacare,-64.4098574,-12.7252957
Caiman_yacare,-65.8181907,-12.7502957
Caiman_yacare,-65.751524,-12.7752957
Caiman_yacare,-65.926524,-12.783629
Caiman_yacare,-65.8598573,-12.8002957
Caiman_yacare,-65.6181907,-12.808629
Caiman_yacare,-65.701524,-12.833629
Caiman_yacare,-64.826524,-12.758629
Caiman_yacare,-64.7431907,-12.758629
Caiman_yacare,-64.4848574,-12.7669624
Caiman_yacare,-63.8431907,-12.7752957
Caiman_yacare,-65.001524,-12.8169624
Caiman_yacare,-64.276524,-12.8419624
Caiman_yacare,-64.926524,-12.858629
Caiman_yacare,-64.5181907,-12.8669624
Caiman_yacare,-63.2348574,-12.7502957
Caiman_yacare,-63.1681907,-12.7919624
Caiman_yacare,-65.8931907,-12.8752957
Caiman_yacare,-65.601524,-12.8752957
Caiman_yacare,-65.576524,-12.9252957
Caiman_yacare,-65.9598573,-12.933629
Caiman_yacare,-65.876524,-12.9419624
Caiman_yacare,-64.2848574,-12.9002957
Caiman_yacare,-64.201524,-12.9002957
Caiman_yacare,-64.151524,-12.933629
Caiman_yacare,-64.8098574,-12.9419624
Caiman_yacare,-63.8181907,-12.9419624
Caiman_yacare,-64.901524,-12.9502957
Caiman_yacare,-64.6181907,-12.9752957
Caiman_yacare,-65.551524,-13.008629
Caiman_yacare,-65.851524,-13.0419624
Caiman_yacare,-65.8098573,-13.0919624
Caiman_yacare,-65.7181907,-13.133629
Caiman_yacare,-64.826524,-13.008629
Caiman_yacare,-64.1348574,-13.008629
Caiman_yacare,-63.8431907,-13.008629
Caiman_yacare,-64.7598574,-13.0169624
Caiman_yacare,-64.0598574,-13.033629
Caiman_yacare,-63.7931907,-13.0419624
Caiman_yacare,-64.101524,-13.083629
Caiman_yacare,-63.7848574,-13.108629
Caiman_yacare,-65.1931907,-13.133629
Caiman_yacare,-62.7598574,-13.0169624
Caiman_yacare,-63.1848574,-13.083629
Caiman_yacare,-65.9348573,-13.158629
Caiman_yacare,-65.5931907,-13.2169624
Caiman_yacare,-65.676524,-13.258629
Caiman_yacare,-65.2431907,-13.158629
Caiman_yacare,-63.7681907,-13.158629
Caiman_yacare,-64.7931907,-13.1669624
Caiman_yacare,-63.2598574,-13.1669624
Caiman_yacare,-65.3098574,-13.1919624
Caiman_yacare,-65.201524,-13.208629
Caiman_yacare,-65.3598574,-13.2169624
Caiman_yacare,-64.3848574,-13.2252957
Caiman_yacare,-63.8098574,-13.2252957
Caiman_yacare,-64.4681907,-13.233629
Caiman_yacare,-63.2931907,-13.233629
Caiman_yacare,-63.7431907,-13.2419624
Caiman_yacare,-63.176524,-13.2252957
Caiman_yacare,-63.101524,-13.2419624
Caiman_yacare,-65.2348574,-13.2752957
Caiman_yacare,-63.376524,-13.2752957
Caiman_yacare,-63.9931907,-13.2919624
Caiman_yacare,-63.726524,-13.2919624
Caiman_yacare,-64.1681907,-13.3002957
Caiman_yacare,-63.851524,-13.3002957
Caiman_yacare,-63.4598574,-13.3002957
Caiman_yacare,-65.1931907,-13.3252957
Caiman_yacare,-65.2431907,-13.3419624
Caiman_yacare,-63.376524,-13.3419624
Caiman_yacare,-63.6931907,-13.3502957
Caiman_yacare,-63.451524,-13.358629
Caiman_yacare,-63.526524,-13.383629
Caiman_yacare,-65.2431907,-13.3919624
Caiman_yacare,-64.8431907,-13.433629
Caiman_yacare,-64.826524,-13.483629
Caiman_yacare,-65.2931907,-13.533629
Caiman_yacare,-62.9431907,-13.4419624
Caiman_yacare,-62.8848574,-13.4752957
Caiman_yacare,-67.401524,-13.6419624
Caiman_yacare,-63.7431907,-13.5752957
Caiman_yacare,-65.3348574,-13.583629
Caiman_yacare,-63.7181907,-13.6252957
Caiman_yacare,-63.6431907,-13.6252957
Caiman_yacare,-65.326524,-13.658629
Caiman_yacare,-67.9931907,-13.7419624
Caiman_yacare,-68.0598573,-13.7502957
Caiman_yacare,-67.5098573,-13.7669624
Caiman_yacare,-67.426524,-13.7169624
Caiman_yacare,-67.376524,-13.7169624
Caiman_yacare,-65.4931907,-13.7252957
Caiman_yacare,-67.451524,-13.8002957
Caiman_yacare,-65.2681907,-13.708629
Caiman_yacare,-65.3431907,-13.7252957
Caiman_yacare,-65.276524,-13.758629
Caiman_yacare,-67.5098573,-13.8919624
Caiman_yacare,-65.1931907,-13.908629
Caiman_yacare,-67.526524,-14.033629
Caiman_yacare,-67.601524,-14.0419624
Caiman_yacare,-67.4598573,-13.9919624
Caiman_yacare,-64.8348574,-13.9419624
Caiman_yacare,-65.101524,-13.983629
Caiman_yacare,-64.8848574,-14.0252957
Caiman_yacare,-65.0681907,-14.0419624
Caiman_yacare,-65.1181907,-14.0502957
Caiman_yacare,-67.5848573,-14.1252957
Caiman_yacare,-67.4931907,-14.0919624
Caiman_yacare,-65.376524,-14.108629
Caiman_yacare,-67.4181907,-14.1169624
Caiman_yacare,-64.8848574,-14.0752957
Caiman_yacare,-65.0848574,-14.108629
Caiman_yacare,-65.051524,-14.1752957
Caiman_yacare,-64.9181907,-14.1919624
Caiman_yacare,-67.501524,-14.2169624
Caiman_yacare,-67.2431907,-14.283629
Caiman_yacare,-65.5931907,-14.283629
Caiman_yacare,-67.326524,-14.2919624
Caiman_yacare,-64.9931907,-14.2169624
Caiman_yacare,-65.0681907,-14.2419624
Caiman_yacare,-65.001524,-14.283629
Caiman_yacare,-64.901524,-14.2919624
Caiman_yacare,-65.051524,-14.3002957
Caiman_yacare,-64.8931907,-14.358629
Caiman_yacare,-65.0681907,-14.3752957
Caiman_yacare,-64.9681907,-14.4002957
Caiman_yacare,-65.3181907,-14.4169624
Caiman_yacare,-64.8681907,-14.458629
Caiman_yacare,-65.6431907,-14.5002957
Caiman_yacare,-65.801524,-14.5169624
Caiman_yacare,-65.5681907,-14.5419624
Caiman_yacare,-65.9181907,-14.6002957
Caiman_yacare,-65.626524,-14.6002957
Caiman_yacare,-65.5348573,-14.6002957
Caiman_yacare,-64.9181907,-14.5002957
Caiman_yacare,-65.951524,-14.6502957
Caiman_yacare,-65.676524,-14.658629
Caiman_yacare,-65.1848574,-14.7002957
Caiman_yacare,-64.9681907,-14.7002957
Caiman_yacare,-65.201524,-14.7502957
Caiman_yacare,-64.776524,-14.808629
Caiman_yacare,-65.2431907,-14.8169624
Caiman_yacare,-65.1931907,-14.8252957
Caiman_yacare,-61.051524,-14.758629
Caiman_yacare,-66.476524,-14.9752957
Caiman_yacare,-61.101524,-14.9169624
Caiman_yacare,-64.7098574,-15.183629
Caiman_yacare,-64.7598574,-15.1919624
Caiman_yacare,-64.6431907,-15.308629
Caiman_yacare,-63.251524,-15.3502957
Caiman_yacare,-64.7181907,-15.3669624
Caiman_yacare,-63.2348574,-15.483629
Caiman_yacare,-64.751524,-15.583629
Caiman_yacare,-63.226524,-15.5919624
Caiman_yacare,-63.076524,-15.6169624
Caiman_yacare,-63.1848574,-15.6502957
Caiman_yacare,-63.0848574,-15.6669624
Caiman_yacare,-64.726524,-15.683629
Caiman_yacare,-64.6181907,-15.8752957
Caiman_yacare,-63.476524,-16.183629
Caiman_yacare,-63.5098574,-16.2502957
Caiman_yacare,-58.5681907,-16.4002957
Caiman_yacare,-58.501524,-16.4169624
Caiman_yacare,-58.376524,-16.458629
Caiman_yacare,-58.5181907,-16.4752957
Caiman_yacare,-58.451524,-16.508629
Caiman_yacare,-58.401524,-16.5419624
Caiman_yacare,-58.6681907,-16.5502957
Caiman_yacare,-58.501524,-16.583629
Caiman_yacare,-58.5598574,-16.6502957
Caiman_yacare,-58.6681907,-16.658629
Caiman_yacare,-58.6098574,-16.658629
Caiman_yacare,-58.4681907,-16.6669624
Caiman_yacare,-58.5598574,-16.708629
Caiman_yacare,-58.4848574,-16.733629
Caiman_yacare,-58.5098574,-16.8002957
Caiman_yacare,-58.651524,-16.8752957
Caiman_yacare,-58.601524,-16.883629
Caiman_yacare,-58.4681907,-16.908629
Caiman_yacare,-58.551524,-16.9419624
Caiman_yacare,-58.6431907,-16.9502957
Caiman_yacare,-58.5348574,-16.9919624
Caiman_yacare,-58.476524,-17.158629
Caiman_yacare,-58.626524,-17.233629
Caiman_yacare,-58.5348574,-17.2419624
Caiman_yacare,-58.4598574,-17.258629
Caiman_yacare,-58.6681907,-17.3002957
Caiman_yacare,-58.426524,-17.333629
Caiman_yacare,-58.401524,-17.383629
Caiman_yacare,-57.8598574,-17.5502957
Caiman_yacare,-58.3848574,-17.5919624
Caiman_yacare,-63.1681907,-17.7502957
Caiman_yacare,-63.1598574,-17.9169624
Caiman_yacare,-62.8681907,-21.8002957
Caiman_yacare,-62.8348574,-21.8919623
Caiman_yacare,-62.726524,-22.183629
